node,volatility,eign,closeness,betwness,centrality,community,density,name,type
954,2,2.505407101193672e-47,0.004098360655737705,0.0,1,0,1.0,"Ribler, R.",outandin
5,2,2.505407101193672e-47,0.004098360655737705,0.0,1,0,1.0,"Abrams, M.",outandin
239,3,2.505407101193672e-47,0.004098360655737705,0.0,1,27,1.0,"Dachselt, R.",outandin
302,2,2.505407101193672e-47,0.004098360655737705,0.0,1,27,1.0,"Ebert, J.",outandin
180,2,2.505407101193672e-47,0.004098360655737705,0.0,1,59,1.0,"Chen, C.",incoming
805,2,2.505407101193672e-47,0.004098360655737705,0.0,1,59,1.0,"Morris, S.",outandin
70,2,2.505407101193672e-47,0.004098360655737705,0.0,1,32,1.0,"Barlow, T.",outandin
824,2,2.505407101193672e-47,0.004098360655737705,0.0,1,32,1.0,"Neville, P.",outandin
81,2,2.505407101193672e-47,0.004098360655737705,0.0,1,34,1.0,"Becker, B.G.",outandin
130,2,2.505407101193672e-47,0.004098360655737705,0.0,1,34,1.0,"Brainerd, J.",outandin
1170,1,2.505407101193672e-47,0.004098360655737705,0.0,1,35,1.0,"Tory, M.",incoming
818,3,2.505407101193672e-47,0.004098360655737705,0.0,1,35,1.0,"M̦ller, T.",outandin
1134,1,2.505407101193672e-47,0.004098360655737705,0.0,1,37,1.0,"Tal, A.",
364,2,2.505407101193672e-47,0.004098360655737705,0.0,1,37,1.0,"Frishman, Y.",incoming
630,2,2.505407101193672e-47,0.004098360655737705,0.0,1,40,1.0,"Klingner, J.",incoming
30,2,2.505407101193672e-47,0.004098360655737705,0.0,1,40,1.0,"Amenta, N.",outandin
1067,2,2.505407101193672e-47,0.004098360655737705,0.0,1,23,1.0,"Six, J.M.",outandin
1164,2,2.505407101193672e-47,0.004098360655737705,0.0,1,23,1.0,"Tollis, I.G.",outandin
829,2,2.505407101193672e-47,0.004098360655737705,0.0,1,42,1.0,"Nguyen, Q.V.",outandin
526,2,2.505407101193672e-47,0.004098360655737705,0.0,1,42,1.0,"Huang, M.L.",outandin
1275,2,2.505407101193672e-47,0.004098360655737705,0.0,1,45,1.0,"Wright, W.",outandin
594,2,2.505407101193672e-47,0.004098360655737705,0.0,1,45,1.0,"Kapler, T.",outandin
